﻿Lelystad,20160101,46,14,69
Lelystad,20160102,45,39,49
Lelystad,20160103,61,42,77
Lelystad,20160104,28,12,51
Lelystad,20160105,30,-3,59
Lelystad,20160106,-9,-15,-2
Lelystad,20160107,41,-8,72
Lelystad,20160108,53,17,81
Lelystad,20160109,51,7,75
Lelystad,20160110,65,42,85
Lelystad,20160111,47,26,65
Lelystad,20160112,54,42,75
Lelystad,20160113,42,10,63
Lelystad,20160114,27,6,52
Lelystad,20160115,19,-14,33
Lelystad,20160116,22,-14,50
Lelystad,20160117,-5,-46,22
Lelystad,20160118,-27,-54,1
Lelystad,20160119,-26,-68,4
Lelystad,20160120,8,-40,47
Lelystad,20160121,-12,-42,8
Lelystad,20160122,7,-31,41
Lelystad,20160123,57,8,86
Lelystad,20160124,73,48,99
Lelystad,20160125,107,85,139
Lelystad,20160126,88,58,108
Lelystad,20160127,106,83,119
Lelystad,20160128,61,39,83
Lelystad,20160129,82,52,96
Lelystad,20160130,72,46,95
Lelystad,20160131,59,24,92
Lelystad,20160201,110,87,118
Lelystad,20160202,84,57,108
Lelystad,20160203,47,9,66
Lelystad,20160204,42,9,61
Lelystad,20160205,81,43,101
Lelystad,20160206,93,83,103
Lelystad,20160207,82,64,106
Lelystad,20160208,79,62,93
Lelystad,20160209,52,19,77
Lelystad,20160210,47,19,78
Lelystad,20160211,30,-7,75
Lelystad,20160212,16,-17,58
Lelystad,20160213,9,-19,31
Lelystad,20160214,15,6,26
Lelystad,20160215,18,-22,55
Lelystad,20160216,3,-43,62
Lelystad,20160217,-9,-52,34
Lelystad,20160218,9,-21,26
Lelystad,20160219,35,4,79
Lelystad,20160220,78,48,108
Lelystad,20160221,101,79,114
Lelystad,20160222,65,19,112
Lelystad,20160223,31,-10,74
Lelystad,20160224,12,-18,66
Lelystad,20160225,11,-23,56
Lelystad,20160226,11,-14,35
Lelystad,20160227,15,-17,60
Lelystad,20160228,16,-22,66
Lelystad,20160229,15,-28,65
Lelystad,20160301,18,-45,76
Lelystad,20160302,50,2,83
Lelystad,20160303,35,0,75
Lelystad,20160304,13,-10,28
Lelystad,20160305,11,-34,71
Lelystad,20160306,21,-15,72
Lelystad,20160307,28,-8,74
Lelystad,20160308,34,-11,78
Lelystad,20160309,39,-4,76
Lelystad,20160310,29,-22,81
Lelystad,20160311,12,-29,43
Lelystad,20160312,21,-39,91
Lelystad,20160313,30,-26,81
Lelystad,20160314,31,-19,101
Lelystad,20160315,47,-22,92
Lelystad,20160316,36,-10,91
Lelystad,20160317,47,-31,117
Lelystad,20160318,54,34,65
Lelystad,20160319,61,48,73
Lelystad,20160320,64,45,86
Lelystad,20160321,70,56,89
Lelystad,20160322,75,55,109
Lelystad,20160323,72,57,99
Lelystad,20160324,74,55,103
Lelystad,20160325,64,5,95
Lelystad,20160326,93,10,147
Lelystad,20160327,88,64,125
Lelystad,20160328,90,62,128
Lelystad,20160329,74,39,112
Lelystad,20160330,76,42,112
Lelystad,20160331,70,33,116
Lelystad,20160401,74,-3,137
Lelystad,20160402,97,32,131
Lelystad,20160403,145,113,198
Lelystad,20160404,125,83,153
Lelystad,20160405,96,55,132
Lelystad,20160406,78,46,111
Lelystad,20160407,70,43,98
Lelystad,20160408,73,26,112
Lelystad,20160409,94,25,150
Lelystad,20160410,98,56,150
Lelystad,20160411,122,70,174
Lelystad,20160412,118,70,166
Lelystad,20160413,94,46,151
Lelystad,20160414,94,27,160
Lelystad,20160415,99,85,128
Lelystad,20160416,85,53,123
Lelystad,20160417,65,14,109
Lelystad,20160418,80,8,125
Lelystad,20160419,94,44,128
Lelystad,20160420,78,26,124
Lelystad,20160421,86,7,154
Lelystad,20160422,78,27,120
Lelystad,20160423,58,26,91
Lelystad,20160424,50,26,90
Lelystad,20160425,47,16,92
Lelystad,20160426,46,9,82
Lelystad,20160427,56,17,101
Lelystad,20160428,49,11,91
Lelystad,20160429,74,40,109
Lelystad,20160430,73,31,115
Lelystad,20160501,79,13,130
Lelystad,20160502,113,19,174
Lelystad,20160503,96,31,129
Lelystad,20160504,100,23,159
Lelystad,20160505,130,59,185
Lelystad,20160506,172,78,236
Lelystad,20160507,196,93,261
Lelystad,20160508,197,108,250
Lelystad,20160509,197,131,248
Lelystad,20160510,185,139,223
Lelystad,20160511,196,137,259
Lelystad,20160512,191,133,250
Lelystad,20160513,143,86,219
Lelystad,20160514,86,64,118
Lelystad,20160515,89,62,126
Lelystad,20160516,94,57,127
Lelystad,20160517,119,76,174
Lelystad,20160518,134,67,185
Lelystad,20160519,135,84,189
Lelystad,20160520,132,107,170
