# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 269:         5.520       52.458      -3.70  LELYSTAD
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  269,20160610,  152,  106,  190
  269,20160611,  160,  121,  211
  269,20160612,  166,  133,  222
  269,20160613,  158,  134,  196
  269,20160614,  154,  125,  184
  269,20160615,  145,  114,  178
  269,20160616,  161,  114,  211
  269,20160617,  160,  136,  194
  269,20160618,  144,  117,  174
  269,20160619,  152,  125,  186
  269,20160620,  155,  143,  170
  269,20160621,  173,  132,  206
  269,20160622,  198,  139,  243
  269,20160623,  217,  186,  282
  269,20160624,  191,  129,  224
  269,20160625,  152,  104,  193
  269,20160626,  145,  103,  183
  269,20160627,  148,  102,  181
  269,20160628,  165,   99,  210
  269,20160629,  157,  130,  196
  269,20160630,  159,  137,  187
  269,20160701,  165,  138,  193
  269,20160702,  147,  116,  180
  269,20160703,  146,  106,  190
  269,20160704,  172,   99,  230
  269,20160705,  153,  128,  183
  269,20160706,  147,   96,  185
  269,20160707,  165,   80,  220
  269,20160708,  164,  127,  203
  269,20160709,  180,  116,  225
  269,20160710,  204,  156,  259
  269,20160711,  177,  154,  213
  269,20160712,  163,  131,  198
  269,20160713,  142,  105,  172
  269,20160714,  147,  113,  178
  269,20160715,  163,  130,  206
  269,20160716,  185,  150,  205
  269,20160717,  190,  139,  220
  269,20160718,  187,  120,  243
  269,20160719,  209,   99,  286
  269,20160720,  241,  158,  328
  269,20160721,  213,  156,  262
  269,20160722,  201,  159,  249
  269,20160723,  197,  165,  238
  269,20160724,  202,  153,  261
  269,20160725,  181,  128,  230
  269,20160726,  186,  111,  237
  269,20160727,  182,  162,  224
  269,20160728,  181,  140,  222
  269,20160729,  182,  146,  215
  269,20160730,  179,  159,  220
  269,20160731,  164,  117,  207
  269,20160801,  162,  120,  206
  269,20160802,  166,  138,  184
  269,20160803,  190,  169,  224
  269,20160804,  172,  147,  211
  269,20160805,  172,  132,  207
  269,20160806,  164,  112,  215
  269,20160807,  179,  117,  224
  269,20160808,  171,  111,  202
  269,20160809,  139,  114,  185
  269,20160810,  129,   81,  172
  269,20160811,  138,   77,  166
  269,20160812,  183,  161,  214
  269,20160813,  172,  144,  204
  269,20160814,  157,  103,  204
  269,20160815,  160,  102,  208
  269,20160816,  154,  102,  207
