Kenmerken personen,Perioden,Toegang tot internet,Personal Computer (PC) of desktop,Laptop of netbook,Tablet,Mobiele telefoon of smartphone
Totaal personen,2013,92.8,67.8,74.7,45.1,66.8
Totaal personen,2014,93.2,61.2,75.9,57.1,74.1
Totaal personen,2015,94.0,56.6,77.2,64.9,78.8
Totaal personen,2016,94.4,58.3,79.3,68.3,84.6
Totaal personen,2017,97.1,60.3,82.0,71.7,89.0
